# probe/ (der 0.8.2 from_ber, rasn 0.28.15 ber::decode, bcder 0.7.7 Mode::Ber) over scripts/ber.sh's payloads.
# Per crate: attribute count and FNV-1a of the (type, value) list in encoding order, or its error. A BER
# spelling re-encodes the nested values too, so its digest differs from the DER original's; crates agree
# with each other on one file when they read the same attributes.
receipt | der: 11 attrs 67c2b40bafdcc289 | rasn: 11 attrs 67c2b40bafdcc289 | bcder: 11 attrs 67c2b40bafdcc289
receipt-sandbox-legacy.indef-chunked | der: 208 attrs 5a8de751c2648aff | rasn: 208 attrs 5a8de751c2648aff | bcder: 208 attrs 5a8de751c2648aff
receipt-sandbox-legacy.longlen | der: ERR incorrect length for SET at DER byte 6 | rasn: 208 attrs fd0f775285c62c40 | bcder: 208 attrs fd0f775285c62c40
receipt-sandbox-legacy.utf8-chunked | der: 208 attrs 99715082ad016405 | rasn: 208 attrs 99715082ad016405 | bcder: 208 attrs 99715082ad016405
receipt-xcode-with-purchases.chunked | der: ERR ASN.1 OCTET STRING not canonically encoded as DER at DER byte 13 | rasn: 10 attrs fec7ecb599c4eba4 | bcder: 10 attrs fec7ecb599c4eba4
receipt-xcode-with-purchases.indef | der: 10 attrs dbf7b78546390236 | rasn: 10 attrs dbf7b78546390236 | bcder: 10 attrs dbf7b78546390236
receipt-xcode-with-purchases.indef-chunked | der: 10 attrs f3176184032a18ea | rasn: 10 attrs f3176184032a18ea | bcder: 10 attrs f3176184032a18ea
receipt-xcode-with-purchases.longlen | der: ERR incorrect length for SET at DER byte 5 | rasn: 10 attrs 8e2d860f9a6619b6 | bcder: 10 attrs 8e2d860f9a6619b6
receipt-xcode-with-purchases.utf8-chunked | der: 10 attrs 07ed7c4d3e7be695 | rasn: 10 attrs 07ed7c4d3e7be695 | bcder: 10 attrs 07ed7c4d3e7be695
receipt.chunked | der: ERR ASN.1 OCTET STRING not canonically encoded as DER at DER byte 14 | rasn: 11 attrs d6784ab24993d270 | bcder: 11 attrs d6784ab24993d270
receipt.indef | der: 11 attrs 732aaafb0b1772c3 | rasn: 11 attrs 732aaafb0b1772c3 | bcder: 11 attrs 732aaafb0b1772c3
receipt.indef-chunked | der: 11 attrs 4bb6573a76c78ddb | rasn: 11 attrs 4bb6573a76c78ddb | bcder: 11 attrs 4bb6573a76c78ddb
receipt.longlen | der: ERR incorrect length for SET at DER byte 5 | rasn: 11 attrs 19010f91cb98d435 | bcder: 11 attrs 19010f91cb98d435
receipt.utf8-chunked | der: 11 attrs 369e97cede7a3dde | rasn: 11 attrs 369e97cede7a3dde | bcder: 11 attrs 369e97cede7a3dde
xcode-app-receipt-empty.chunked | der: ERR ASN.1 OCTET STRING not canonically encoded as DER at DER byte 13 | rasn: 9 attrs 1e39b93971a325ca | bcder: 9 attrs 1e39b93971a325ca
xcode-app-receipt-empty.indef | der: 9 attrs 1e39b93971a325ca | rasn: 9 attrs 1e39b93971a325ca | bcder: 9 attrs 1e39b93971a325ca
xcode-app-receipt-empty.indef-chunked | der: 9 attrs 1e39b93971a325ca | rasn: 9 attrs 1e39b93971a325ca | bcder: 9 attrs 1e39b93971a325ca
xcode-app-receipt-empty.longlen | der: ERR incorrect length for SET at DER byte 5 | rasn: 9 attrs 343b5872855edbd4 | bcder: 9 attrs 343b5872855edbd4
xcode-app-receipt-empty.utf8-chunked | der: 9 attrs 5699b49ca568dc70 | rasn: 9 attrs 5699b49ca568dc70 | bcder: 9 attrs 5699b49ca568dc70
xcode-app-receipt-with-transaction.chunked | der: ERR ASN.1 OCTET STRING not canonically encoded as DER at DER byte 13 | rasn: 10 attrs fec7ecb599c4eba4 | bcder: 10 attrs fec7ecb599c4eba4
xcode-app-receipt-with-transaction.indef | der: 10 attrs dbf7b78546390236 | rasn: 10 attrs dbf7b78546390236 | bcder: 10 attrs dbf7b78546390236
xcode-app-receipt-with-transaction.indef-chunked | der: 10 attrs f3176184032a18ea | rasn: 10 attrs f3176184032a18ea | bcder: 10 attrs f3176184032a18ea
xcode-app-receipt-with-transaction.longlen | der: ERR incorrect length for SET at DER byte 5 | rasn: 10 attrs 8e2d860f9a6619b6 | bcder: 10 attrs 8e2d860f9a6619b6
xcode-app-receipt-with-transaction.utf8-chunked | der: 10 attrs 07ed7c4d3e7be695 | rasn: 10 attrs 07ed7c4d3e7be695 | bcder: 10 attrs 07ed7c4d3e7be695
